"Country","conspiracy","gdp","inequality","corruption","political_stability","pisa_math","pisa_reading","pisa_science","university_graduates","human_development_index","weirdness","hospitalbeds_per_1000_people","pandemic_response","power_distance","individualism","masculinity","uncertainty_avoidance","longterm_orientation","indulgence","dataset","vi"
"Romania",2.56,49076.5399383138,29.8,-45,68.6083999,428,428,428,14.6010893280568,0.845,0.1146,7.23,45.7,90,30,42,90,51.8891687657431,19.8660714285714,"Rutjens",0.0169
"Sweden",1.52,71844.9129880579,29.3,-80,76.2033355,482,487,494,34.883027208531,0.959,0.1242,1.9,64.9,31,71,5,29,52.896725440806,77.6785714285714,"Rutjens",0.0049
"Tunisia",2.2,14521.0080937638,33.7,-39,50.0970303,NA,NA,NA,12.8028297424316,0.746,0.1939,1.82,31.5,NA,NA,NA,NA,NA,NA,"Rutjens",0.0121
"Turkey",2.26,45639.0192735944,43.7,-31,49.3131044,453,456,476,21.8643391177776,0.853,0.1296,3.05,50,66,37,45,85,45.5919395465995,49.1071428571429,"Rutjens",0.0064
"UK",2.08,62009.4907765366,32.4,-70,70.2964669,489,494,500,39.5936584472656,0.946,0.0599,2.42,67.2,35,89,66,35,51.1335012594458,69.4196428571428,"Rutjens",0.0049
"US",1.46,85809.9003846359,41.8,-64,64.2697196,465,504,499,39.0593910217285,0.938,0,2.68,75.9,40,91,62,46,25.6926952141058,68.0803571428571,"Rutjens",0.0049
"Venezuela",1.69,NA,44.7,-10,36.1651626,NA,NA,NA,22.2573749832562,0.709,NA,0.99,20.9,81,12,73,76,15.6171284634761,100,"Rutjens",0.0064
"Canada",2.8,64610.3795171971,31.5,-75,76.1173365,497,507,515,34.6594141975685,0.939,0.0253,2.54,69.8,39,80,52,48,36.0201511335013,68.3035714285714,"Hornsey",0.0064
"Argentina",3.22,30431.1931223693,42.4,-36,62.9948599,378,401,406,10.8555898666382,0.865,0.0789,3.36,54.4,49,46,56,86,20.4030226700252,61.8303571428571,"Hornsey",0.0036
"Australia",2.63,72111.1844628126,33.8,-76,79.4447025,487,498,507,36.7831484305008,0.958,0.0381,3.82,71.1,38,90,61,51,21.1586901763224,71.4285714285714,"Hornsey",0.0064
"Brazil",2.7,22338.4765640635,50.3,-35,57.0022212,379,410,403,17.1936798095703,0.786,0.0802,2.52,51.2,69,38,49,76,43.8287153652393,59.1517857142857,"Hornsey",0.5329
"Chile",3.42,36181.156616977,43,-63,67.9673582,412,448,444,22.2672369170038,0.878,0.086,1.94,56.2,63,23,28,86,30.9823677581864,68,"Hornsey",0.0049
"China",3.37,27104.8702677463,36,-43,63.2751622,NA,NA,NA,7.67750978469849,0.797,0.171,5.63,47.5,80,20,66,30,87.4055415617128,23.6607142857143,"Hornsey",0.0036
"France",2.83,62556.91810454,31.8,-66,61.771486,474,474,487,24.3546212580131,0.92,0.0988,5.65,61.9,68,71,43,86,63.4760705289672,47.7678571428571,"Hornsey",0.5476
"Germany",2.99,73551.9347696836,33.7,-77,68.0170742,475,480,492,30.5294541601323,0.959,0.0851,7.55,65.5,35,67,66,65,82.8715365239295,40.4017857142857,"Hornsey",0.0064
"Hong Kong",3.1,75195.9865970615,NA,-76,76.6745657,540,500,520,NA,0.955,0.1053,4.89090013504028,NA,68,25,57,29,60.9571788413098,16.9642857142857,"Hornsey",0.0036
"India",3.24,11159.9856476091,25.5,-39,52.4723123,NA,NA,NA,14.8793001174927,0.685,0.0974,1.59,42.8,77,48,56,40,50.8816120906801,26.1160714285714,"Hornsey",0.0049
"Indonesia",3.45,16448.2755179559,34.4,-34,55.4895207,366,359,383,9.32683739576692,0.728,0.2082,1.37,50.4,78,14,46,48,61.9647355163728,37.7232142857143,"Hornsey",0.0049
"Ireland",2.84,133437.470117019,29,-76,78.0218154,492,516,504,41.8523570536881,0.949,NA,2.96,55.3,28,70,68,35,24.4332493702771,64.9553571428571,"Hornsey",0.0064
"Japan",3.06,52039.1716551611,32.3,-71,85.270442,536,516,547,25.5403995513916,0.925,0.1197,12.59,60.5,54,46,95,92,87.9093198992443,41.7410714285714,"Hornsey",0.0036
"Mexico",3.53,26185.3564713253,42.6,-27,53.6732923,395,415,410,18.3770809173584,0.789,0.0845,1.01,57,81,30,69,82,24.1813602015113,97.3214285714286,"Hornsey",0.0036
"New Zealand",2.6,55551.143658637,NA,-81,85.5494444,479,501,504,32.2832717895508,0.938,0.0565,2.51,62.5,22,79,58,49,32.7455919395466,74.5535714285714,"Hornsey",0.0064
"Philippinnes",3.19,11794.1375488492,39.3,-32,52.6707116,355,347,356,18.075719833374,0.72,0.18,0.97,45.7,94,32,64,44,27.455919395466,41.9642857142857,"Hornsey",0.0049
"Poland",2.95,51262.5105756884,28.5,-53,74.4122187,489,489,499,27.7237205505371,0.906,0.0885,6.04,55.7,68,60,64,93,37.7833753148615,29.2410714285714,"Hornsey",0.0036
"Portugal",3.17,51679.8883807527,33.9,-56,75.0659657,472,477,484,24.9081630188819,0.89,NA,3.48,54.7,63,27,31,104,28.2115869017632,33.2589285714286,"Hornsey",0.0064
"Singapore",3.03,150689.301625826,NA,-84,86.9368376,575,543,561,36.193660736084,0.946,0.0419,2.81,57.4,74,20,48,8,71.536523929471,45.5357142857143,"Hornsey",0.0036
"South Africa",3.07,15456.1989933658,54.1,-41,55.3527432,NA,NA,NA,14.3510103225708,0.741,0.0851,2.25,45.8,NA,NA,NA,NA,34,63,"Hornsey",0.0049
"South Korea",3.22,61051.3492502498,32.9,-63,76.8155059,527,515,528,36.4573720087806,0.937,0.0875,12.81,65.4,60,18,39,85,100,29.4642857142857,"Hornsey",0.0036
"Spain",2.97,57965.2948138837,33.4,-55,65.8432851,473,474,485,25.0426560264041,0.918,0.0846,2.91,60.9,57,51,42,86,47.6070528967254,43.5267857142857,"Hornsey",0.0049
"Sweden",2.49,71844.9129880579,29.3,-80,76.2033355,482,487,494,34.883027208531,0.959,0.1242,1.9,64.9,31,71,5,29,52.896725440806,77.6785714285714,"Hornsey",0.0049
"UK",2.78,62009.4907765366,32.4,-70,70.2964669,489,494,500,39.5936584472656,0.946,0.0599,2.42,67.2,35,89,66,35,51.1335012594458,69.4196428571428,"Hornsey",0.0064
"USA",2.71,85809.9003846359,41.8,-64,64.2697196,465,504,499,39.0593910217285,0.938,0,2.68,75.9,40,91,62,46,25.6926952141058,68.0803571428571,"Hornsey",0.0064
"Argentina",6.84,30431.1931223693,42.4,-36,62.9948599,378,401,406,10.8555898666382,0.865,0.0789,3.36,54.4,49,46,56,86,20.4030226700252,61.8303571428571,"PsyCorona",0.0036
"Australia",6.54,72111.1844628126,33.8,-76,79.4447025,487,498,507,36.7831484305008,0.958,0.0381,3.82,71.1,38,90,61,51,21.1586901763224,71.4285714285714,"PsyCorona",0.0036
"Brazil",6.91,22338.4765640635,50.3,-35,57.0022212,379,410,403,17.1936798095703,0.786,0.0802,2.52,51.2,69,38,49,76,43.8287153652393,59.1517857142857,"PsyCorona",0.0036
"Canada",6.25,64610.3795171971,31.5,-75,76.1173365,497,507,515,34.6594141975685,0.939,0.0253,2.54,69.8,39,80,52,48,36.0201511335013,68.3035714285714,"PsyCorona",0.0025
"Chile",7.06,36181.156616977,43,-63,67.9673582,412,448,444,22.2672369170038,0.878,0.086,1.94,56.2,63,23,28,86,30.9823677581864,68,"PsyCorona",0.01
"Croatia",6.21,49550.7921506017,30.1,-47,75.8257878,463,475,483,21.9618380926261,0.889,NA,5.6,48.8,73,33,40,80,58.4382871536524,33.2589285714286,"PsyCorona",0.0121
"Egypt",5.77,19094.1449444111,28.5,-30,49.1898949,NA,NA,NA,18.0522908453089,0.754,0.2468,1.06,28,NA,NA,NA,NA,6.80100755667506,4.24107142857143,"PsyCorona",0.0049
"France",6.28,62556.91810454,31.8,-66,61.771486,474,474,487,24.3546212580131,0.92,0.0988,5.65,61.9,68,71,43,86,63.4760705289672,47.7678571428571,"PsyCorona",0.0025
"Germany",5.5,73551.9347696836,33.7,-77,68.0170742,475,480,492,30.5294541601323,0.959,0.0851,7.55,65.5,35,67,66,65,82.8715365239295,40.4017857142857,"PsyCorona",0.0036
"Greece",7.15,44327.2097808276,33.4,-50,68.2759168,430,438,441,28.9360360146749,0.908,NA,4.27,51.5,60,35,57,112,45.3400503778337,49.5535714285714,"PsyCorona",0.0016
"Hungary",6.51,48552.4708092529,30.6,-40,73.3475875,473,473,486,26.3525127220673,0.87,0.1201,6.63,54.4,46,80,88,82,58.1863979848866,31.4732142857143,"PsyCorona",0.0081
"Indonesia",5.84,16448.2755179559,34.4,-34,55.4895207,366,359,383,9.32683739576692,0.728,0.2082,1.37,50.4,78,14,46,48,61.9647355163728,37.7232142857143,"PsyCorona",0.0016
